사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2021072400100008,2021년 7월 24일 00시,토요일,충청남도 천안시 동남구 문화동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,21세,상해없음,이륜,남,31세,경상
2021072400100052,2021년 7월 24일 07시,토요일,충청남도 천안시 서북구 입장면,중상사고,0,1,0,0,차대차 - 측면충돌,중앙선침범,건조,맑음,교차로 - 교차로안,이륜,남,84세,중상,승용,남,58세,상해없음
2021072400100120,2021년 7월 24일 10시,토요일,충청남도 천안시 서북구 성정동,경상사고,0,0,1,0,차대차 - 기타,신호위반,건조,맑음,교차로 - 교차로안,화물,남,59세,상해없음,승용,여,52세,경상
2021072400100122,2021년 7월 24일 10시,토요일,충청남도 천안시 동남구 신방동,중상사고,0,2,0,0,차대차 - 기타,기타,건조,맑음,단일로 - 기타,승용,남,38세,상해없음,이륜,남,56세,중상
2021072400100204,2021년 7월 24일 12시,토요일,충청남도 천안시 동남구 봉명동,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,66세,상해없음,보행자,남,43세,경상
2021072400100244,2021년 7월 24일 13시,토요일,충청남도 천안시 동남구 신부동,경상사고,0,0,4,0,차대차 - 후진중충돌,불법유턴,건조,맑음,단일로 - 기타,승용,남,33세,상해없음,승용,남,58세,경상
2021072400100245,2021년 7월 24일 13시,토요일,충청남도 천안시 동남구 신방동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,45세,상해없음,이륜,남,61세,중상
2021072400100290,2021년 7월 24일 14시,토요일,충청남도 천안시 서북구 직산읍,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,22세,상해없음,승용,남,34세,경상
2021072400100569,2021년 7월 24일 22시,토요일,충청남도 천안시 동남구 대흥동,경상사고,0,0,2,0,차대차 - 측면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,여,55세,상해없음,승용,여,54세,경상
2021072500100124,2021년 7월 25일 12시,일요일,충청남도 천안시 서북구 성환읍,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,여,35세,상해없음,이륜,남,43세,경상
2021072500100387,2021년 7월 25일 20시,일요일,충청남도 천안시 동남구 신부동,경상사고,0,0,4,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승합,남,26세,상해없음,승용,남,61세,경상
